spec,id
MMO,1
Cross-Platform Multiplayer,2
Includes Source SDK,3
Steam Trading Cards,4
Steam Leaderboards,5
Valve Anti-Cheat enabled,6
Local Co-op,7
Mods,8
In-App Purchases,9
Online Co-op,10
Game demo,11
Mods (require HL2),12
Downloadable Content,13
Stats,14
Shared/Split Screen,15
Full controller support,16
Single-player,17
Steam Turn Notifications,18
Steam Cloud,19
Multi-player,20
Partial Controller Support,21
Commentary available,22
SteamVR Collectibles,23
Online Multi-Player,24
Includes level editor,25
Local Multi-Player,26
Steam Achievements,27
Captions available,28
Steam Workshop,29
Co-op,30
